delta,z,confidence_level
0.0,0.773427977401,0.780365431129
0.05,0.476159462899,0.683019611643
0.1,0.193292288125,0.576634967185
0.15,-0.0757713758866,0.469800494686
0.2,-0.331653543678,0.370075441835
0.25,-0.57498629893,0.2826502816
0.3,-0.80640078824,0.210005896295
0.35,-1.02651882376,0.152323547731
0.4,-1.23594663961,0.108239199474
0.45,-1.4352704012,0.075605029409
0.5,-1.62505312201,0.0520756201327
0.55,-1.80583269597,0.0354722383157
0.6,-1.97812080223,0.0239575401784
0.65,-2.14240248202,0.0160805541716
0.7,-2.29913622514,0.010748602523
0.75,-2.44875443486,0.00716755718542
0.8,-2.5916641667,0.00477564794678
0.85,-2.72824805872,0.00318358536924
0.9,-2.85886538848,0.00212579578575
0.95,-2.98385320678,0.00142321647498
1.0,-3.10352750983,0.000956142279198